Company _(Maker-if_known),Specific_Bean_Origin_or_Bar_Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating
13,58,123,2007,70.0,10,3.75
13,11,123,2007,70.0,10,4.0
13,64,129,2007,70.0,10,3.5
13,65,170,2007,63.0,10,3.5
13,65,40,2006,70.0,10,5.0
13,65,75,2006,66.0,10,4.0
14,66,1065,2013,75.0,11,3.25
14,67,572,2010,85.0,11,2.75
14,67,572,2010,50.0,11,3.75
14,67,572,2010,75.0,11,3.75
14,67,572,2010,60.0,11,4.0
15,68,1259,2014,75.0,1,3.0
16,69,1852,2016,75.0,1,3.5
17,11,1375,2014,75.0,0,3.0
17,70,1379,2014,72.0,0,2.5
17,13,1379,2014,75.0,0,2.75
17,71,1379,2014,75.0,0,3.0
18,72,1724,2016,70.0,1,3.5
18,73,1724,2016,70.0,1,3.75
18,37,1900,2016,73.0,1,3.5
18,74,1904,2016,70.0,1,3.25
18,75,1904,2016,70.0,1,3.25
18,76,1904,2016,70.0,1,3.5
18,77,1904,2016,70.0,1,3.75
18,78,1908,2016,70.0,1,3.5
18,79,1908,2016,70.0,1,4.0
18,80,1924,2016,70.0,1,4.0
18,68,1928,2016,70.0,1,3.75
18,81,1928,2016,70.0,1,3.25
18,82,1928,2016,73.0,1,3.25
18,83,1534,2015,70.0,1,3.5
18,84,1534,2015,68.0,1,3.5
18,85,1534,2015,70.0,1,3.75
18,86,1598,2015,70.0,1,3.5
18,87,1598,2015,70.0,1,3.75
18,88,1598,2015,70.0,1,4.0
18,83,1602,2015,75.0,1,2.75
18,89,1602,2015,70.0,1,3.25
18,90,1602,2015,75.0,1,3.5
19,91,1193,2013,72.0,12,3.25
19,92,947,2012,72.0,12,3.75
19,93,729,2011,72.0,12,4.0
19,10,745,2011,72.0,12,2.75
19,58,486,2010,100.0,12,1.75
19,62,531,2010,72.0,12,3.75
19,94,600,2010,72.0,12,3.25
19,95,600,2010,72.0,12,3.25
19,96,600,2010,72.0,12,3.5
19,97,355,2009,75.0,12,2.5
19,98,355,2009,72.0,12,2.75
19,99,363,2009,72.0,12,1.75
19,11,363,2009,80.0,12,3.0
19,21,363,2009,75.0,12,3.0
19,57,363,2009,72.0,12,3.25
19,100,300,2008,72.0,12,3.75
20,101,1181,2013,72.0,12,2.75
21,102,1780,2016,68.0,1,3.75
21,103,647,2011,72.0,1,3.75
21,104,661,2011,70.0,1,3.75
21,105,331,2009,77.0,1,3.75
21,106,141,2007,75.0,1,2.5
21,107,175,2007,70.0,1,3.0
22,108,1474,2015,80.0,13,3.25
22,16,1474,2015,70.0,13,3.5
22,109,995,2012,70.0,13,3.0
22,110,999,2012,70.0,13,2.5
22,108,999,2012,70.0,13,2.5
23,111,1454,2015,70.0,8,2.75
23,112,1454,2015,70.0,8,3.5
24,110,1554,2015,70.0,1,3.5
24,113,1295,2014,70.0,1,4.0
24,114,983,2012,70.0,1,3.25
24,70,983,2012,70.0,1,3.5
24,109,983,2012,70.0,1,3.75
25,115,955,2012,80.0,14,2.75
26,116,1840,2016,65.0,1,3.5
26,12,1868,2016,70.0,1,3.75
26,53,1880,2016,65.0,1,3.25
27,117,1948,2017,73.0,12,3.0
27,118,1948,2017,72.0,12,3.25
28,119,1784,2016,80.0,1,2.75
28,120,1784,2016,70.0,1,2.75
28,121,1784,2016,70.0,1,2.75
28,53,1788,2016,90.0,1,2.75
29,94,586,2010,64.0,15,2.75
29,16,586,2010,64.0,15,2.75
29,21,586,2010,64.0,15,2.75
29,53,586,2010,71.0,15,3.5
30,122,1800,2016,70.0,1,3.5
30,123,1804,2016,70.0,1,3.25
30,124,1864,2016,70.0,1,3.5
31,125,1768,2016,83.0,16,2.75
31,126,1768,2016,78.0,16,3.0
31,126,1768,2016,83.0,16,3.5
32,127,1141,2013,74.0,15,3.5
32,17,1141,2013,74.0,15,3.5
32,128,1141,2013,74.0,15,3.5
32,129,1141,2013,73.0,15,4.0
32,130,757,2011,72.0,15,4.0
32,131,773,2011,72.0,15,3.75
33,132,797,2012,55.0,0,2.75
34,11,636,2011,64.0,5,3.0
34,133,636,2011,88.0,5,3.0
34,134,636,2011,72.0,5,3.5
34,53,636,2011,72.0,5,4.0
34,135,508,2010,70.0,5,3.25
34,136,508,2010,74.0,5,3.25
34,137,508,2010,64.0,5,3.5
34,138,508,2010,72.0,5,3.5
35,139,1482,2015,76.0,1,2.5
35,140,1486,2015,76.0,1,2.5
35,141,1486,2015,78.0,1,2.5
35,56,1486,2015,86.0,1,3.25
36,52,963,2012,72.0,1,3.5
36,142,478,2010,75.0,1,3.25
36,143,502,2010,70.0,1,3.75
36,142,558,2010,65.0,1,2.75
36,144,565,2010,70.0,1,3.0
36,145,565,2010,78.0,1,3.0
36,146,414,2009,75.0,1,3.0
36,146,414,2009,65.0,1,3.5
36,109,423,2009,75.0,1,3.25
36,109,431,2009,65.0,1,3.5
36,109,233,2008,71.0,1,3.0
36,147,233,2008,75.0,1,3.5
36,146,233,2008,68.0,1,3.75
36,148,256,2008,70.0,1,3.0
37,149,256,2008,70.0,1,2.75
37,150,256,2008,70.0,1,2.75
37,151,256,2008,70.0,1,3.0
38,152,1331,2014,70.0,12,2.75
39,153,1046,2013,82.0,7,3.5
39,154,322,2009,72.0,7,2.75
40,155,1740,2016,82.0,1,3.5
40,76,1752,2016,75.0,1,2.75
40,73,1752,2016,75.0,1,3.5
40,156,1756,2016,75.0,1,3.0
40,89,911,2012,70.0,1,3.5
40,11,911,2012,70.0,1,3.75
41,157,1912,2016,75.0,0,3.5
41,158,1339,2014,75.0,0,4.0
41,159,1418,2014,75.0,0,3.25
41,160,1418,2014,65.0,0,3.75
41,161,1038,2013,75.0,0,3.5
41,162,1042,2013,75.0,0,3.25
41,6,629,2011,75.0,0,3.5
41,163,629,2011,75.0,0,3.5
41,164,629,2011,75.0,0,3.5
41,165,629,2011,75.0,0,3.75
41,93,629,2011,75.0,0,4.0
41,166,629,2011,75.0,0,4.0
41,167,672,2011,75.0,0,3.5
41,168,761,2011,75.0,0,3.25
41,169,331,2009,75.0,0,3.0
41,170,336,2009,75.0,0,2.75
41,171,336,2009,75.0,0,3.0
41,172,395,2009,75.0,0,3.0
41,173,199,2008,75.0,0,4.0
41,13,123,2007,75.0,0,2.5
41,32,24,2006,75.0,0,3.75
41,174,32,2006,75.0,0,4.0
41,175,48,2006,75.0,0,4.0
41,11,75,2006,75.0,0,4.0
41,176,81,2006,100.0,0,1.5
41,177,81,2006,75.0,0,3.0
41,17,81,2006,75.0,0,4.0
42,178,316,2009,77.0,3,3.25
42,178,341,2009,100.0,3,1.5
43,87,1267,2014,70.0,1,2.75
43,44,1271,2014,70.0,1,2.75
44,179,1868,2016,70.0,1,3.5
44,180,1868,2016,70.0,1,3.75
44,44,1462,2015,68.0,1,3.75
44,87,1255,2014,70.0,1,3.75
44,17,1355,2014,70.0,1,4.0
44,181,1125,2013,72.0,1,3.0
44,182,1125,2013,70.0,1,3.25
44,52,1129,2013,75.0,1,3.5
44,183,1129,2013,85.0,1,3.5
45,184,1514,2015,60.0,1,3.0
45,184,1514,2015,80.0,1,3.25
45,185,1514,2015,70.0,1,3.5
45,186,1518,2015,80.0,1,2.75
45,87,1518,2015,80.0,1,3.25
45,187,1518,2015,60.0,1,3.25
46,62,1149,2013,70.0,1,3.0
47,188,1231,2014,72.0,13,3.0
47,189,1231,2014,70.0,13,3.5
47,190,1231,2014,72.0,13,3.5
47,191,1235,2014,68.0,13,2.75
48,53,1638,2015,70.0,17,3.25
49,57,1181,2013,68.0,1,2.75
50,64,1299,2014,72.0,1,3.25
50,192,1299,2014,72.0,1,3.5
50,56,1303,2014,72.0,1,3.25
50,193,1303,2014,72.0,1,3.25
50,194,1323,2014,60.0,1,2.5
51,195,1606,2015,70.0,18,2.5
52,196,1215,2014,75.0,1,2.5
52,197,502,2010,75.0,1,2.5
52,198,502,2010,75.0,1,2.75
52,199,600,2010,75.0,1,2.25
53,200,1716,2016,65.0,0,3.5
53,201,586,2010,70.0,0,3.0
53,202,300,2008,75.0,0,2.0
53,58,141,2007,72.0,0,2.0
53,203,147,2007,66.0,0,3.0
54,17,1688,2015,77.0,19,3.5
54,204,1692,2015,75.0,19,3.25
54,205,1391,2014,75.0,19,2.5
54,206,1391,2014,74.0,19,3.25
54,207,1391,2014,75.0,19,3.5
54,207,1395,2014,70.0,19,3.75
55,208,1668,2015,74.0,19,3.25
56,209,1816,2016,71.0,20,3.75
56,210,1816,2016,74.0,20,3.75
56,211,1662,2015,72.0,20,3.75
56,212,1430,2014,64.0,20,3.5
56,213,1430,2014,70.0,20,3.5
56,214,1434,2014,69.0,20,2.75
56,215,1434,2014,70.0,20,3.25
57,216,1860,2016,70.0,1,3.5
58,217,991,2012,72.0,1,3.75
58,218,641,2011,72.0,1,3.0
58,57,641,2011,66.0,1,3.75
58,219,647,2011,65.0,1,3.25
59,220,1908,2016,70.0,7,3.5
59,11,508,2010,71.0,7,3.5
59,53,523,2010,71.0,7,3.75
59,221,523,2010,71.0,7,4.0
59,63,537,2010,71.0,7,3.25
59,58,537,2010,71.0,7,3.5
59,58,537,2010,77.0,7,3.5
59,222,336,2009,70.0,7,4.0
59,223,346,2009,70.0,7,4.0
60,11,1684,2015,70.0,21,3.0
60,21,1684,2015,70.0,21,3.25
60,33,1684,2015,70.0,21,3.5
61,18,1173,2013,70.0,8,3.25
62,224,237,2008,63.0,3,3.5
62,225,237,2008,71.0,3,3.5
62,226,245,2008,82.0,3,2.5
62,227,259,2008,91.0,3,1.5
63,228,296,2008,60.0,15,2.75
63,229,141,2007,70.0,15,1.0
64,6,1442,2014,75.0,10,2.5
64,57,1442,2014,72.0,10,3.0
64,230,1442,2014,70.0,10,3.5
64,53,1185,2013,100.0,10,3.5
64,58,809,2012,80.0,10,3.0
64,231,749,2011,78.0,10,2.25
64,64,765,2011,70.0,10,2.5
65,60,1804,2016,75.0,1,2.5
65,202,1804,2016,73.0,1,2.75
65,232,1804,2016,70.0,1,3.0
65,20,1808,2016,75.0,1,3.0
65,12,1808,2016,70.0,1,3.25
66,225,237,2008,77.0,3,2.0
66,233,237,2008,77.0,3,2.5
66,234,245,2008,77.0,3,2.75
66,233,266,2008,55.0,3,3.0
66,234,269,2008,55.0,3,3.25
66,225,269,2008,55.0,3,3.5
67,235,1263,2014,70.0,22,3.5
67,236,1263,2014,70.0,22,3.75
68,237,1582,2015,72.0,23,3.5
68,238,1586,2015,72.0,23,3.25
68,239,1586,2015,72.0,23,3.5
68,94,841,2012,72.0,23,3.0
68,94,845,2012,80.0,23,2.75
69,215,1884,2016,65.0,20,3.0
69,213,1888,2016,65.0,20,3.25
69,240,1888,2016,65.0,20,3.25
69,241,1888,2016,65.0,20,3.5
69,242,1888,2016,65.0,20,3.5
70,243,1724,2016,72.0,1,4.0
70,244,1570,2015,72.0,1,3.5
70,245,1570,2015,70.0,1,3.75
70,246,1574,2015,72.0,1,3.5
70,212,1347,2014,72.0,1,3.5
70,215,1371,2014,76.0,1,3.5
70,184,1407,2014,70.0,1,2.75
70,20,1101,2013,70.0,1,3.0
70,44,1101,2013,73.0,1,3.5
70,247,1105,2013,70.0,1,2.5
70,248,1105,2013,70.0,1,3.25
70,249,1109,2013,72.0,1,3.25
70,196,1153,2013,70.0,1,2.75
70,250,1153,2013,72.0,1,3.0
71,53,1247,2014,70.0,1,2.5
71,21,1247,2014,70.0,1,2.75
71,58,1251,2014,70.0,1,2.75
71,20,1251,2014,70.0,1,3.0
72,13,404,2009,72.0,0,2.75
73,251,1426,2014,70.0,9,2.75
74,252,1900,2016,70.0,1,3.25
75,253,486,2010,55.0,3,2.75
75,234,252,2008,75.0,3,3.0
76,254,1235,2014,70.0,1,3.5
77,255,672,2011,70.0,0,3.5
78,53,1454,2015,70.0,12,3.25
79,256,1407,2014,75.0,16,3.0
79,87,1407,2014,82.0,16,3.25
80,257,1696,2015,70.0,24,2.75
80,258,1696,2015,70.0,24,3.5
81,21,1482,2015,65.0,12,2.5
81,259,1482,2015,65.0,12,2.75
81,57,1514,2015,80.0,12,2.5
82,11,647,2011,70.0,1,3.75
82,58,647,2011,68.0,1,3.75
83,260,1772,2016,90.0,1,2.5
83,261,1772,2016,80.0,1,2.5
84,262,1760,2016,70.0,1,2.5
84,251,1760,2016,70.0,1,2.75
84,57,1764,2016,60.0,1,3.0
84,57,1764,2016,75.0,1,3.0
84,51,1764,2016,80.0,1,3.0
84,53,1764,2016,70.0,1,3.25
84,249,1768,2016,80.0,1,2.75
85,21,1259,2014,74.0,1,2.75
86,263,1530,2015,75.0,25,3.25
86,264,1530,2015,68.0,25,3.5
86,265,1530,2015,80.0,25,3.75
87,266,1582,2015,69.0,26,3.75
87,150,1582,2015,80.0,26,3.75
87,21,1121,2013,70.0,26,3.75
87,53,919,2012,82.0,26,2.5
87,21,919,2012,68.0,26,2.75
87,11,919,2012,72.0,26,3.25
88,106,1219,2014,70.0,9,2.5
89,199,1454,2015,77.0,21,3.0
90,267,682,2011,65.0,9,3.25
91,106,478,2010,71.0,7,3.25
91,109,478,2010,71.0,7,3.5
91,268,439,2009,60.0,7,3.25
91,269,439,2009,75.0,7,3.25
91,51,209,2008,71.0,7,3.5
91,270,117,2007,71.0,7,2.5
91,271,117,2007,71.0,7,2.5
91,272,117,2007,70.0,7,3.0
92,28,1522,2015,65.0,1,2.5
92,28,1522,2015,75.0,1,2.5
93,51,377,2009,80.0,9,2.5
93,273,377,2009,70.0,9,2.75
93,274,377,2009,70.0,9,3.0
93,274,377,2009,80.0,9,3.0
93,51,377,2009,70.0,9,3.0
94,275,1149,2013,42.0,27,2.75
95,267,1832,2016,75.0,9,3.25
96,276,666,2011,68.0,9,3.75
97,277,445,2009,61.0,1,3.0
98,17,486,2010,77.0,1,2.75
99,278,470,2010,73.5,28,3.75
99,279,209,2008,80.0,28,3.0
99,278,227,2008,75.0,28,4.0
99,280,252,2008,100.0,28,1.0
100,281,1486,2015,73.0,1,3.5
101,109,1646,2015,75.0,1,3.0
102,7,579,2010,70.0,29,3.25
102,150,292,2008,80.0,29,2.75
102,282,292,2008,72.0,29,3.25
102,51,292,2008,70.0,29,3.75
102,225,296,2008,88.0,29,2.75
103,90,1630,2015,76.0,1,3.5
104,283,1916,2016,78.0,1,2.75
105,284,1169,2013,65.0,16,3.25
105,285,813,2012,85.0,16,3.5
105,286,817,2012,100.0,16,1.5
105,287,821,2012,72.0,16,3.75
105,11,959,2012,70.0,16,3.5
105,63,470,2010,72.0,16,3.25
105,17,478,2010,70.0,16,3.0
105,288,558,2010,72.0,16,2.5
105,64,558,2010,72.0,16,3.0
105,62,558,2010,72.0,16,3.25
105,289,558,2010,72.0,16,3.25
105,170,341,2009,72.0,16,3.0
105,170,445,2009,62.0,16,3.25
105,290,451,2009,70.0,16,3.5
105,291,451,2009,70.0,16,3.75
105,292,220,2008,72.0,16,3.0
105,173,220,2008,72.0,16,3.0
105,293,196,2007,72.0,16,3.0
106,294,48,2006,70.0,15,1.0
107,295,1283,2014,70.0,13,2.5
107,296,1335,2014,83.0,13,2.75
107,297,971,2012,75.0,13,3.25
107,298,975,2012,65.0,13,3.25
107,299,975,2012,67.0,13,3.25
107,300,975,2012,64.0,13,3.25
107,301,975,2012,75.0,13,3.5
108,302,1736,2016,85.0,1,3.25
108,302,1736,2016,73.0,1,3.75
109,303,1654,2015,70.0,13,2.75
109,304,785,2011,70.0,13,3.25
110,305,1928,2017,72.0,1,2.75
111,306,1610,2015,70.0,12,3.0
111,234,1610,2015,70.0,12,3.5
111,307,1666,2015,70.0,12,2.25
111,308,1666,2015,70.0,12,2.75
112,309,1816,2016,70.0,1,3.75
112,310,1446,2015,70.0,1,3.0
112,87,1219,2014,70.0,1,3.5
112,311,1295,2014,70.0,1,3.5
112,312,1303,2014,70.0,1,2.75
112,313,1387,2014,70.0,1,3.75
112,314,1026,2013,70.0,1,2.75
112,199,1026,2013,70.0,1,3.25
112,315,1085,2013,70.0,1,3.5
112,16,1153,2013,70.0,1,3.5
112,316,805,2012,70.0,1,3.0
112,317,805,2012,70.0,1,3.25
112,318,915,2012,70.0,1,3.75
112,57,654,2011,70.0,1,3.25
112,11,654,2011,70.0,1,3.25
112,202,654,2011,70.0,1,3.25
113,319,1223,2014,82.0,30,3.25
113,17,987,2012,75.0,30,3.0
113,319,987,2012,70.0,30,3.75
113,109,987,2012,70.0,30,3.75
113,320,987,2012,70.0,30,4.0
113,321,991,2012,70.0,30,3.25
113,319,661,2011,60.0,30,3.5
113,320,423,2009,75.0,30,3.0
113,320,423,2009,60.0,30,3.25
114,322,1920,2016,72.0,1,2.75
114,33,1920,2016,72.0,1,3.0
114,323,1920,2016,70.0,1,3.25
115,20,1708,2016,75.0,1,3.25
115,11,1550,2015,70.0,1,3.0
115,51,1550,2015,70.0,1,3.25
115,202,1554,2015,70.0,1,3.0
115,53,1554,2015,70.0,1,3.25
116,52,1093,2013,70.0,1,2.5
116,324,1093,2013,70.0,1,2.75
116,58,1093,2013,70.0,1,2.75
116,325,907,2012,58.0,1,3.25
117,326,1462,2015,72.0,11,3.5
117,327,1462,2015,65.0,11,3.5
118,328,1832,2016,70.0,31,2.5
118,329,1832,2016,70.0,31,3.0
119,11,170,2007,66.0,1,2.5
119,94,175,2007,64.0,1,3.0
119,53,175,2007,71.0,1,3.0
119,52,175,2007,60.0,1,3.0
119,16,180,2007,64.0,1,3.0
119,21,180,2007,64.0,1,3.0
120,16,423,2009,64.0,0,3.0
120,58,263,2008,66.0,0,3.75
121,330,1916,2016,72.0,9,2.5
122,331,241,2008,80.0,1,2.75
122,94,166,2007,77.0,1,3.5
122,57,166,2007,77.0,1,3.5
123,332,1952,2017,70.0,1,3.75
123,37,1864,2016,78.0,1,3.5
123,333,1634,2015,70.0,1,3.75
123,68,1235,2014,74.0,1,3.5
123,334,1034,2013,70.0,1,3.25
123,90,1193,2013,76.0,1,3.5
123,20,895,2012,75.0,1,2.75
123,56,955,2012,72.0,1,2.75
123,109,661,2011,80.0,1,2.75
123,109,661,2011,72.0,1,3.0
123,335,682,2011,75.0,1,2.75
123,149,769,2011,74.0,1,3.0
123,53,769,2011,70.0,1,3.25
124,8,1688,2015,85.0,12,3.0
124,336,1371,2014,72.0,12,3.25
124,337,1371,2014,72.0,12,3.25
124,338,1407,2014,72.0,12,3.5
125,339,311,2009,70.0,1,3.75
126,340,304,2008,88.0,15,3.0
126,341,63,2006,70.0,15,1.5
127,74,1672,2015,70.0,10,3.75
127,342,1672,2015,70.0,10,3.75
127,343,1109,2013,100.0,10,3.0
127,344,863,2012,70.0,10,3.5
127,345,863,2012,70.0,10,3.75
127,346,693,2011,70.0,10,3.5
127,347,470,2010,70.0,10,3.0
127,348,227,2008,70.0,10,3.0
127,349,272,2008,70.0,10,3.0
127,255,272,2008,78.0,10,3.5
127,350,272,2008,70.0,10,3.75
127,60,111,2007,70.0,10,4.0
127,351,129,2007,75.0,10,3.25
127,352,135,2007,60.0,10,3.25
127,11,135,2007,70.0,10,3.5
127,353,192,2007,70.0,10,3.5
127,354,192,2007,70.0,10,3.75
127,53,192,2007,70.0,10,4.0
127,355,192,2007,70.0,10,4.0
127,356,87,2006,70.0,10,3.0
127,357,87,2006,70.0,10,3.25
127,150,87,2006,70.0,10,3.5
128,358,1880,2016,75.0,12,2.75
128,359,1672,2015,70.0,12,2.5
128,360,1676,2015,80.0,12,2.75
128,361,1676,2015,77.0,12,2.75
129,362,1662,2015,70.0,12,4.0
129,363,1331,2014,70.0,12,3.5
129,364,1331,2014,76.0,12,3.75
129,51,923,2012,72.0,12,3.75
129,365,623,2011,72.0,12,3.75
129,57,661,2011,65.0,12,3.5
129,366,697,2011,72.0,12,3.0
129,367,697,2011,71.0,12,3.25
129,51,765,2011,71.0,12,3.5
129,10,516,2010,70.0,12,3.5
129,368,516,2010,72.0,12,3.75
129,369,523,2010,70.0,12,2.5
129,370,523,2010,70.0,12,3.75
130,57,1506,2015,70.0,1,3.25
131,11,841,2012,82.0,0,2.75
132,371,1626,2015,70.0,1,3.5
132,372,1626,2015,70.0,1,3.5
132,373,1630,2015,70.0,1,3.25
132,374,1630,2015,70.0,1,3.25
132,375,1630,2015,70.0,1,4.0
133,21,1343,2014,70.0,9,3.25
133,11,1343,2014,70.0,9,3.5
133,57,1343,2014,70.0,9,3.75
134,213,1812,2016,70.0,9,3.25
134,215,1812,2016,70.0,9,3.25
135,376,919,2012,72.0,1,2.75
136,60,1876,2016,68.0,16,3.0
137,377,709,2011,75.0,32,3.75
137,69,252,2008,71.0,32,2.75
138,378,1662,2015,70.0,19,3.75
138,379,439,2009,60.5,19,2.75
138,380,439,2009,70.0,19,3.0
138,381,206,2008,74.0,19,2.5
138,382,206,2008,58.0,19,2.5
138,383,206,2008,61.0,19,3.0
138,384,32,2006,70.0,19,2.75
139,385,1137,2013,60.0,33,2.75
139,385,1137,2013,70.0,33,3.25
140,199,1450,2015,79.0,21,3.0
140,21,1454,2015,78.0,21,3.5
141,386,1916,2016,75.0,1,3.25
142,278,565,2010,80.0,7,3.25
143,387,1205,2014,70.0,0,3.25
143,388,1209,2014,80.0,0,3.0
143,389,1209,2014,74.0,0,3.25
144,204,903,2012,70.0,1,2.75
144,390,414,2009,65.0,1,2.0
144,150,423,2009,81.0,1,3.5
144,391,431,2009,74.0,1,2.75
144,51,252,2008,72.0,1,3.0
145,392,666,2011,55.0,1,2.5
145,64,666,2011,55.0,1,2.5
145,60,666,2011,70.0,1,2.5
145,393,666,2011,62.0,1,2.75
145,394,672,2011,62.0,1,2.5
146,56,1275,2014,80.0,1,3.0
146,53,1275,2014,80.0,1,3.5
146,57,1275,2014,80.0,1,3.75
147,395,565,2010,75.0,1,2.75
148,396,1732,2016,76.0,34,3.0
148,50,1736,2016,76.0,34,2.5
148,87,1736,2016,76.0,34,2.75
149,63,494,2010,58.0,5,3.5
149,397,105,2006,62.0,5,2.0
149,184,105,2006,74.0,5,3.0
149,398,48,2006,64.0,5,3.0
149,399,48,2006,65.0,5,3.0
149,253,48,2006,72.0,5,3.5
149,400,56,2006,68.0,5,4.0
150,195,1283,2014,65.0,1,2.25
150,57,1283,2014,80.0,1,3.0
150,57,1283,2014,70.0,1,3.25
150,57,1287,2014,85.0,1,2.5
151,401,1267,2014,72.0,12,2.75
152,57,1776,2016,70.0,18,2.75
152,195,1776,2016,80.0,18,2.75
153,155,1772,2016,70.0,35,2.75
153,402,1776,2016,75.0,35,3.5
153,403,1776,2016,67.0,35,3.75
154,277,1355,2014,70.0,19,3.5
154,51,1355,2014,70.0,19,3.75
154,404,911,2012,70.0,19,3.75
154,7,915,2012,60.0,19,3.5
155,94,1538,2015,70.0,15,3.5
155,405,1538,2015,75.0,15,3.5
155,33,1542,2015,80.0,15,3.0
155,52,1351,2014,60.0,15,3.5
155,11,1351,2014,65.0,15,3.5
156,406,1940,2017,70.0,1,3.5
156,89,1634,2015,73.0,1,3.5
156,407,1209,2014,80.0,1,3.0
156,408,1295,2014,68.0,1,3.25
156,409,1042,2013,66.0,1,3.5
156,410,883,2012,70.0,1,2.5
156,409,883,2012,61.0,1,3.5
156,411,887,2012,81.0,1,2.0
156,276,781,2011,70.0,1,3.5
156,149,785,2011,65.0,1,3.5
157,412,1383,2014,70.0,1,3.0
157,413,1383,2014,70.0,1,3.5
157,414,1383,2014,70.0,1,3.5
157,415,1387,2014,70.0,1,3.5
157,416,1030,2013,72.0,1,3.25
157,417,1081,2013,72.0,1,3.75
157,418,1117,2013,70.0,1,3.75
157,419,1149,2013,70.0,1,4.0
157,420,899,2012,69.0,1,3.5
157,421,899,2012,69.0,1,3.5
157,422,915,2012,74.0,1,4.0
157,423,927,2012,69.0,1,4.0
157,424,931,2012,69.0,1,3.0
157,425,636,2011,74.0,1,2.75
157,426,642,2011,70.0,1,3.25
157,427,642,2011,72.0,1,3.5
157,428,642,2011,70.0,1,3.5
157,429,682,2011,74.0,1,2.75
157,430,682,2011,72.0,1,3.25
157,431,688,2011,74.0,1,3.0
157,432,745,2011,76.0,1,3.25
157,433,745,2011,70.0,1,4.0
157,434,370,2009,80.0,1,2.75
157,435,370,2009,70.0,1,3.0
157,436,370,2009,70.0,1,3.25
157,437,370,2009,65.0,1,3.5
158,438,1912,2016,70.0,36,3.5
159,439,1680,2015,60.0,36,3.0
159,439,1680,2015,85.0,36,3.25
159,439,1259,2014,70.0,36,3.5
159,440,1034,2013,70.0,36,3.25
